epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,512.707,1.18981,2.2892,1.73212,1.43394,0.70985,0.45137,0.55228,0.32414,0.65632,0.49127,0.56948,0.33092,1.55784,3.36785,2.8168,1.8449,0.000659091,0.000659091,0.000659091
2,969.913,1.22694,2.05988,1.2984,1.44207,0.66904,0.58478,0.62407,0.33483,0.70725,0.53616,0.59169,0.35886,1.73575,3.52928,2.17808,2.01596,0.00129951,0.00129951,0.00129951
3,1372.63,1.28895,2.03217,1.17043,1.4843,0.6835,0.51161,0.56336,0.28221,0.67491,0.59021,0.63394,0.39197,1.88748,2.4903,2.05042,2.15307,0.00191352,0.00191352,0.00191352
4,1781.58,1.25261,1.99473,1.08819,1.46957,0.79149,0.58691,0.63566,0.334,0.80535,0.60349,0.64895,0.35776,1.75278,2.69244,1.55427,1.82413,0.0018812,0.0018812,0.0018812
5,2198.46,1.18006,1.92646,0.96715,1.4059,0.77098,0.5586,0.70357,0.43401,0.77711,0.54777,0.6626,0.40075,1.5014,2.91915,1.56822,1.57517,0.0018416,0.0018416,0.0018416
6,2605.31,1.15768,1.88725,0.90013,1.39612,0.89892,0.64589,0.78655,0.44865,0.89832,0.64838,0.78091,0.49491,1.54846,2.07088,1.20532,1.609,0.001802,0.001802,0.001802
7,3018.03,1.17566,1.83779,0.87811,1.40907,0.68776,0.51084,0.55587,0.31573,0.66761,0.49588,0.54223,0.34804,1.8558,2.39704,1.88527,2.05202,0.0017624,0.0017624,0.0017624
8,3412.53,1.13229,1.84613,0.83409,1.35358,0.65074,0.49127,0.56953,0.32618,0.65785,0.49127,0.56869,0.34246,1.72111,2.3083,1.84662,1.94927,0.0017228,0.0017228,0.0017228
9,3806.26,1.08415,1.78013,0.78675,1.33003,0.77902,0.68571,0.77771,0.45655,0.78485,0.67581,0.76147,0.44844,1.59221,2.4106,1.23302,1.70303,0.0016832,0.0016832,0.0016832
10,4235.17,1.09757,1.84837,0.80459,1.33679,0.80719,0.65774,0.74908,0.47222,0.82617,0.68744,0.77624,0.50583,1.42918,2.09627,1.17152,1.63687,0.0016436,0.0016436,0.0016436
11,4643.4,1.08066,1.80063,0.7644,1.32972,0.82776,0.79302,0.85841,0.54414,0.81748,0.78182,0.84773,0.54858,1.29523,2.17124,0.95427,1.4697,0.001604,0.001604,0.001604
12,5068.18,1.07226,1.76373,0.75019,1.31704,0.49481,0.4015,0.41597,0.23279,0.46008,0.44389,0.42081,0.24643,1.98938,2.60256,1.93504,2.41326,0.0015644,0.0015644,0.0015644
13,5461.61,1.06083,1.77059,0.73803,1.32221,0.87737,0.77805,0.8623,0.53356,0.871,0.77307,0.85254,0.54233,1.36045,2.0531,0.96281,1.52416,0.0015248,0.0015248,0.0015248
14,5850.79,1.05142,1.74522,0.7144,1.30814,0.72835,0.68868,0.76058,0.4526,0.68177,0.69327,0.72909,0.45018,1.46785,2.02338,1.16167,1.65738,0.0014852,0.0014852,0.0014852
15,6289.39,1.02943,1.71797,0.7024,1.2891,0.81481,0.68329,0.77806,0.47179,0.81658,0.68836,0.78235,0.50284,1.48524,2.06491,1.06371,1.59678,0.0014456,0.0014456,0.0014456
16,6689.45,1.03959,1.69648,0.68891,1.30301,0.79223,0.64838,0.75769,0.44908,0.80137,0.65586,0.75285,0.46061,1.53409,2.18818,1.10746,1.69619,0.001406,0.001406,0.001406
17,7092.38,0.99752,1.67941,0.67423,1.2784,0.91289,0.81011,0.9142,0.59586,0.89968,0.80512,0.90625,0.60552,1.26908,1.93341,0.80008,1.42368,0.0013664,0.0013664,0.0013664
18,7506.7,1.00696,1.72801,0.67704,1.2806,0.83909,0.79322,0.86563,0.53813,0.81417,0.81047,0.87268,0.56453,1.37208,2.16674,0.85637,1.48302,0.0013268,0.0013268,0.0013268
19,7919.45,0.99802,1.72759,0.67151,1.26469,0.67593,0.58105,0.65033,0.36837,0.63135,0.57855,0.62415,0.37871,1.60965,2.40811,1.26975,1.86817,0.0012872,0.0012872,0.0012872
20,8320.06,1.01226,1.72442,0.66886,1.28653,0.84337,0.75196,0.83933,0.54287,0.84875,0.7277,0.81744,0.53366,1.31836,2.15334,0.87728,1.46683,0.0012476,0.0012476,0.0012476
21,8722.51,0.98204,1.68508,0.63001,1.27008,0.85486,0.77805,0.86588,0.55574,0.85711,0.78055,0.85925,0.56811,1.29697,2.02046,0.83398,1.43749,0.001208,0.001208,0.001208
22,9119.97,0.96468,1.66097,0.63735,1.24875,0.83504,0.83541,0.90067,0.5714,0.86858,0.80763,0.902,0.59469,1.32058,1.82033,0.84303,1.43644,0.0011684,0.0011684,0.0011684
23,9597.93,0.98075,1.65294,0.64596,1.26816,0.87276,0.85287,0.91299,0.58806,0.86491,0.84539,0.90063,0.60552,1.3101,1.84964,0.70814,1.44612,0.0011288,0.0011288,0.0011288
24,10010.2,0.96704,1.6435,0.61127,1.26037,0.9143,0.85786,0.92392,0.61933,0.9143,0.85786,0.92534,0.63049,1.25418,1.80681,0.66901,1.4037,0.0010892,0.0010892,0.0010892
25,10423.1,0.97124,1.63503,0.62086,1.25911,0.87977,0.83042,0.90779,0.6015,0.8795,0.82793,0.90369,0.60381,1.24598,1.97729,0.74005,1.39954,0.0010496,0.0010496,0.0010496
26,10832.3,0.95956,1.64994,0.6166,1.24326,0.72951,0.56858,0.65533,0.38579,0.78435,0.55362,0.65554,0.412,1.64176,2.34089,1.24738,1.84055,0.00101,0.00101,0.00101
27,11252.9,0.95297,1.61593,0.61813,1.23724,0.65292,0.72246,0.73739,0.46541,0.68327,0.69077,0.74613,0.49389,1.38126,1.97696,1.05484,1.53972,0.0009704,0.0009704,0.0009704
28,11651.9,0.94494,1.6235,0.61862,1.24569,0.85057,0.81297,0.89666,0.58377,0.84571,0.81796,0.89295,0.59974,1.24725,1.82145,0.78599,1.38532,0.0009308,0.0009308,0.0009308
29,12043.4,0.9635,1.61447,0.60447,1.245,0.86772,0.77057,0.8872,0.59249,0.87134,0.77556,0.8877,0.60287,1.19726,1.88666,0.75974,1.39327,0.0008912,0.0008912,0.0008912
30,12456,0.92983,1.58557,0.58242,1.22989,0.89784,0.85476,0.92898,0.60575,0.89784,0.85476,0.92494,0.61726,1.28814,1.88063,0.67856,1.40911,0.0008516,0.0008516,0.0008516
31,12878.9,0.94864,1.63361,0.58924,1.23975,0.92345,0.81224,0.91188,0.58881,0.91079,0.81796,0.90691,0.61597,1.26171,1.87695,0.69637,1.3903,0.000812,0.000812,0.000812
32,13286.2,0.90067,1.51789,0.5684,1.2024,0.90131,0.88778,0.93609,0.6235,0.92746,0.8609,0.9304,0.63458,1.24658,1.78867,0.61802,1.37868,0.0007724,0.0007724,0.0007724
33,13687.7,0.92172,1.59105,0.57073,1.21714,0.851,0.88303,0.91136,0.60181,0.85505,0.88279,0.91072,0.61623,1.21968,1.82522,0.68434,1.39151,0.0007328,0.0007328,0.0007328
34,14096,0.90059,1.56425,0.56088,1.20915,0.91742,0.89027,0.94383,0.6328,0.90937,0.88778,0.93735,0.65034,1.24464,1.80631,0.62666,1.4216,0.0006932,0.0006932,0.0006932
35,14507.8,0.9317,1.57432,0.56555,1.23363,0.91232,0.85625,0.92526,0.63173,0.92042,0.8653,0.93266,0.64762,1.17879,1.773,0.63934,1.36433,0.0006536,0.0006536,0.0006536
36,14907.4,0.91879,1.58047,0.58151,1.22243,0.88247,0.86136,0.92144,0.62732,0.88316,0.86705,0.92556,0.64134,1.19544,1.75288,0.63474,1.37845,0.000614,0.000614,0.000614
37,15324,0.87928,1.56903,0.55983,1.1956,0.88386,0.8161,0.9067,0.58908,0.88592,0.83276,0.91374,0.60525,1.179,1.86194,0.66323,1.37526,0.0005744,0.0005744,0.0005744
38,15757.9,0.90864,1.56146,0.55148,1.20872,0.91316,0.87282,0.93079,0.61179,0.91809,0.86649,0.93072,0.6307,1.25608,1.81797,0.64984,1.40168,0.0005348,0.0005348,0.0005348
39,16195.4,0.88222,1.53742,0.54246,1.19145,0.89031,0.87282,0.92272,0.60984,0.88746,0.87032,0.91888,0.62786,1.23081,1.86358,0.67005,1.38946,0.0004952,0.0004952,0.0004952
40,16609.5,0.87449,1.51206,0.53084,1.19624,0.84334,0.8323,0.88987,0.54137,0.84863,0.82544,0.88872,0.57444,1.41102,1.96767,0.78226,1.4859,0.0004556,0.0004556,0.0004556
41,17005.1,0.72324,1.29411,0.38692,1.16388,0.95,0.88279,0.9433,0.63412,0.94285,0.87531,0.93954,0.6419,1.17553,1.7989,0.60179,1.36649,0.000416,0.000416,0.000416
42,17402.4,0.70745,1.26535,0.37137,1.162,0.90277,0.90306,0.94256,0.64235,0.90277,0.90306,0.94156,0.65298,1.17001,1.74795,0.60731,1.35652,0.0003764,0.0003764,0.0003764
43,17810.2,0.71153,1.26043,0.35797,1.1595,0.93178,0.87282,0.94002,0.64081,0.93444,0.87531,0.93712,0.64237,1.17314,1.7883,0.60416,1.347,0.0003368,0.0003368,0.0003368
44,18233,0.70832,1.26776,0.35235,1.14415,0.9207,0.86035,0.93218,0.62801,0.92209,0.8559,0.92639,0.63383,1.17849,1.83453,0.63066,1.38401,0.0002972,0.0002972,0.0002972
45,18649.1,0.68256,1.2348,0.33956,1.14025,0.94325,0.88529,0.94163,0.63742,0.93528,0.87781,0.93375,0.65,1.21229,1.79801,0.59536,1.38892,0.0002576,0.0002576,0.0002576
46,19043.7,0.67814,1.22863,0.33566,1.13389,0.94341,0.87032,0.94433,0.65383,0.94341,0.87032,0.94689,0.66097,1.15002,1.738,0.58454,1.3529,0.000218,0.000218,0.000218
47,19433.4,0.66379,1.23338,0.32307,1.12622,0.90861,0.89526,0.93844,0.65505,0.91367,0.90025,0.94054,0.66226,1.14571,1.76603,0.58864,1.36281,0.0001784,0.0001784,0.0001784
48,19853.4,0.649,1.20754,0.31981,1.11752,0.9284,0.90025,0.94833,0.65765,0.92773,0.8964,0.94563,0.66052,1.15665,1.75831,0.56034,1.36827,0.0001388,0.0001388,0.0001388
49,20279.6,0.64232,1.19398,0.31364,1.10912,0.92202,0.88462,0.94314,0.65572,0.92722,0.88961,0.9462,0.66738,1.14826,1.75666,0.56516,1.36116,9.92e-05,9.92e-05,9.92e-05
50,20663.8,0.64847,1.19016,0.31026,1.10554,0.91584,0.90025,0.94489,0.66056,0.91584,0.90025,0.94227,0.66881,1.13334,1.75372,0.54297,1.36062,5.96e-05,5.96e-05,5.96e-05
